site,pv_kwp,battery_kwh,mult,capex,stress,battery_life_yr,cash_day,ch4_kg_per_day,payback
London,1100.0,500.0,0.65,1661937.1098762234,1.0582706166973983,9.662583251350698,241.26083151346435,63.072888229378265,inf
London,1100.0,500.0,0.675,1691434.6910253088,1.0582706166973983,9.662583251350698,238.836372788882,63.072888229378265,inf
London,1100.0,500.0,0.7,1720932.2721743945,1.0582706166973983,9.662583251350698,236.41191406429962,63.072888229378265,inf
London,1100.0,500.0,0.725,1750429.85332348,1.0582706166973983,9.662583251350698,233.98745533971723,63.072888229378265,inf
London,1100.0,500.0,0.75,1779927.4344725653,1.0582706166973983,9.662583251350698,231.5629966151349,63.072888229378265,inf
London,1100.0,500.0,0.775,1809425.015621651,1.0582706166973983,9.662583251350698,229.1385378905525,63.072888229378265,inf
London,1100.0,500.0,0.8,1838922.5967707364,1.0582706166973983,9.662583251350698,226.71407916597016,63.072888229378265,inf
London,1100.0,500.0,0.825,1868420.1779198218,1.0582706166973983,9.662583251350698,224.2896204413878,63.072888229378265,inf
London,1100.0,500.0,0.85,1897917.7590689075,1.0582706166973983,9.662583251350698,221.8651617168054,63.072888229378265,inf
London,1100.0,500.0,0.875,1927415.340217993,1.0582706166973983,9.662583251350698,219.44070299222304,63.072888229378265,inf
London,1100.0,500.0,0.9,1956912.9213670786,1.0582706166973983,9.662583251350698,217.01624426764064,63.072888229378265,inf
London,1100.0,500.0,0.925,1986410.502516164,1.0582706166973983,9.662583251350698,214.59178554305828,63.072888229378265,inf
London,1100.0,500.0,0.95,2015908.0836652496,1.0582706166973983,9.662583251350698,212.16732681847589,63.072888229378265,inf
London,1100.0,500.0,0.975,2045405.664814335,1.0582706166973983,9.662583251350698,209.74286809389355,63.072888229378265,inf
London,1100.0,500.0,1.0,2074903.2459634205,1.0582706166973983,9.662583251350698,207.31840936931118,63.072888229378265,inf
London,1100.0,1500.0,0.0,1145000.0,0.9571316608607667,10.899354160087558,314.983692175577,68.28698713774364,inf
London,1100.0,1500.0,0.025,1174497.5811490854,0.9571316608607667,10.899354160087558,312.5592334509946,68.28698713774364,inf
London,1100.0,1500.0,0.05,1203995.162298171,0.9571316608607667,10.899354160087558,310.1347747264123,68.28698713774364,inf
London,1100.0,1500.0,0.075,1233492.7434472565,0.9571316608607667,10.899354160087558,307.71031600182994,68.28698713774364,inf
London,1100.0,1500.0,0.1,1262990.3245963422,0.9571316608607667,10.899354160087558,305.2858572772475,68.28698713774364,inf
London,1100.0,1500.0,0.125,1292487.9057454276,0.9571316608607667,10.899354160087558,302.86139855266515,68.28698713774364,inf
London,1100.0,1500.0,0.15,1321985.486894513,0.9571316608607667,10.899354160087558,300.4369398280828,68.28698713774364,inf
London,1100.0,1500.0,0.175,1351483.0680435987,0.9571316608607667,10.899354160087558,298.0124811035004,68.28698713774364,inf
London,1100.0,1500.0,0.2,1380980.649192684,0.9571316608607667,10.899354160087558,295.588022378918,68.28698713774364,inf
London,1100.0,1500.0,0.225,1410478.2303417698,0.9571316608607667,10.899354160087558,293.16356365433563,68.28698713774364,inf
London,1100.0,1500.0,0.25,1439975.8114908552,0.9571316608607667,10.899354160087558,290.7391049297533,68.28698713774364,inf
London,1100.0,1500.0,0.275,1469473.3926399406,0.9571316608607667,10.899354160087558,288.3146462051709,68.28698713774364,inf
London,1100.0,1500.0,0.3,1498970.9737890263,0.9571316608607667,10.899354160087558,285.89018748058857,68.28698713774364,inf
London,1100.0,1500.0,0.325,1528468.5549381117,0.9571316608607667,10.899354160087558,283.4657287560062,68.28698713774364,inf
London,1100.0,1500.0,0.35,1557966.1360871973,0.9571316608607667,10.899354160087558,281.0412700314238,68.28698713774364,inf
London,1100.0,1500.0,0.375,1587463.7172362828,0.9571316608607667,10.899354160087558,278.61681130684144,68.28698713774364,inf
London,1100.0,1500.0,0.4,1616961.2983853682,0.9571316608607667,10.899354160087558,276.1923525822591,68.28698713774364,inf
London,1100.0,1500.0,0.425,1646458.8795344536,0.9571316608607667,10.899354160087558,273.7678938576767,68.28698713774364,inf
London,1100.0,1500.0,0.45,1675956.4606835393,0.9571316608607667,10.899354160087558,271.3434351330943,68.28698713774364,inf
London,1100.0,1500.0,0.475,1705454.041832625,0.9571316608607667,10.899354160087558,268.918976408512,68.28698713774364,inf
London,1100.0,1500.0,0.5,1734951.6229817104,0.9571316608607667,10.899354160087558,266.4945176839296,68.28698713774364,inf
London,1100.0,1500.0,0.525,1764449.2041307958,0.9571316608607667,10.899354160087558,264.0700589593472,68.28698713774364,inf
London,1100.0,1500.0,0.55,1793946.7852798812,0.9571316608607667,10.899354160087558,261.64560023476486,68.28698713774364,inf
London,1100.0,1500.0,0.575,1823444.3664289669,0.9571316608607667,10.899354160087558,259.22114151018246,68.28698713774364,inf
London,1100.0,1500.0,0.6,1852941.9475780525,0.9571316608607667,10.899354160087558,256.79668278560007,68.28698713774364,inf
London,1100.0,1500.0,0.625,1882439.528727138,0.9571316608607667,10.899354160087558,254.37222406101773,68.28698713774364,inf
London,1100.0,1500.0,0.65,1911937.1098762234,0.9571316608607667,10.899354160087558,251.94776533643537,68.28698713774364,inf
London,1100.0,1500.0,0.675,1941434.6910253088,0.9571316608607667,10.899354160087558,249.523306611853,68.28698713774364,inf
London,1100.0,1500.0,0.7,1970932.2721743945,0.9571316608607667,10.899354160087558,247.0988478872706,68.28698713774364,inf
London,1100.0,1500.0,0.725,2000429.85332348,0.9571316608607667,10.899354160087558,244.67438916268821,68.28698713774364,inf
London,1100.0,1500.0,0.75,2029927.4344725653,0.9571316608607667,10.899354160087558,242.24993043810588,68.28698713774364,inf
London,1100.0,1500.0,0.775,2059425.015621651,0.9571316608607667,10.899354160087558,239.8254717135235,68.28698713774364,inf
London,1100.0,1500.0,0.8,2088922.5967707364,0.9571316608607667,10.899354160087558,237.40101298894115,68.28698713774364,inf
London,1100.0,1500.0,0.825,2118420.177919822,0.9571316608607667,10.899354160087558,234.97655426435878,68.28698713774364,inf
London,1100.0,1500.0,0.85,2147917.7590689072,0.9571316608607667,10.899354160087558,232.55209553977642,68.28698713774364,inf
London,1100.0,1500.0,0.875,2177415.3402179927,0.9571316608607667,10.899354160087558,230.12763681519405,68.28698713774364,inf
London,1100.0,1500.0,0.9,2206912.9213670786,0.9571316608607667,10.899354160087558,227.70317809061166,68.28698713774364,inf
London,1100.0,1500.0,0.925,2236410.502516164,0.9571316608607667,10.899354160087558,225.27871936602926,68.28698713774364,inf
London,1100.0,1500.0,0.95,2265908.08366525,0.9571316608607667,10.899354160087558,222.8542606414469,68.28698713774364,inf
London,1100.0,1500.0,0.975,2295405.6648143353,0.9571316608607667,10.899354160087558,220.4298019168645,68.28698713774364,inf
London,1100.0,1500.0,1.0,2324903.2459634207,0.9571316608607667,10.899354160087558,218.00534319228217,68.28698713774364,inf
London,1100.0,2500.0,0.0,1395000.0,0.7803240334980597,11.793946433608951,320.78696468413534,72.67896564378677,inf
London,1100.0,2500.0,0.025,1424497.5811490854,0.7803240334980597,11.793946433608951,318.36250595955295,72.67896564378677,inf
London,1100.0,2500.0,0.05,1453995.162298171,0.7803240334980597,11.793946433608951,315.9380472349706,72.67896564378677,inf
London,1100.0,2500.0,0.075,1483492.7434472565,0.7803240334980597,11.793946433608951,313.5135885103882,72.67896564378677,inf
London,1100.0,2500.0,0.1,1512990.3245963422,0.7803240334980597,11.793946433608951,311.0891297858058,72.67896564378677,inf
London,1100.0,2500.0,0.125,1542487.9057454276,0.7803240334980597,11.793946433608951,308.6646710612235,72.67896564378677,inf
London,1100.0,2500.0,0.15,1571985.486894513,0.7803240334980597,11.793946433608951,306.2402123366411,72.67896564378677,inf
London,1100.0,2500.0,0.175,1601483.0680435987,0.7803240334980597,11.793946433608951,303.81575361205876,72.67896564378677,inf
London,1100.0,2500.0,0.2,1630980.649192684,0.7803240334980597,11.793946433608951,301.39129488747636,72.67896564378677,inf
London,1100.0,2500.0,0.225,1660478.2303417698,0.7803240334980597,11.793946433608951,298.96683616289397,72.67896564378677,inf
London,1100.0,2500.0,0.25,1689975.8114908552,0.7803240334980597,11.793946433608951,296.54237743831163,72.67896564378677,inf
London,1100.0,2500.0,0.275,1719473.3926399406,0.7803240334980597,11.793946433608951,294.1179187137293,72.67896564378677,inf
London,1100.0,2500.0,0.3,1748970.9737890263,0.7803240334980597,11.793946433608951,291.69345998914685,72.67896564378677,inf
London,1100.0,2500.0,0.325,1778468.5549381117,0.7803240334980597,11.793946433608951,289.2690012645645,72.67896564378677,inf
London,1100.0,2500.0,0.35,1807966.1360871973,0.7803240334980597,11.793946433608951,286.8445425399821,72.67896564378677,inf
London,1100.0,2500.0,0.375,1837463.7172362828,0.7803240334980597,11.793946433608951,284.4200838153997,72.67896564378677,inf
London,1100.0,2500.0,0.4,1866961.2983853682,0.7803240334980597,11.793946433608951,281.9956250908174,72.67896564378677,inf
London,1100.0,2500.0,0.425,1896458.8795344536,0.7803240334980597,11.793946433608951,279.57116636623505,72.67896564378677,inf
London,1100.0,2500.0,0.45,1925956.4606835393,0.7803240334980597,11.793946433608951,277.14670764165265,72.67896564378677,inf
London,1100.0,2500.0,0.475,1955454.041832625,0.7803240334980597,11.793946433608951,274.72224891707026,72.67896564378677,inf
London,1100.0,2500.0,0.5,1984951.6229817104,0.7803240334980597,11.793946433608951,272.2977901924879,72.67896564378677,inf
London,1100.0,2500.0,0.525,2014449.2041307958,0.7803240334980597,11.793946433608951,269.87333146790553,72.67896564378677,inf
London,1100.0,2500.0,0.55,2043946.7852798812,0.7803240334980597,11.793946433608951,267.44887274332314,72.67896564378677,inf
London,1100.0,2500.0,0.575,2073444.3664289669,0.7803240334980597,11.793946433608951,265.0244140187408,72.67896564378677,inf
London,1100.0,2500.0,0.6,2102941.9475780525,0.7803240334980597,11.793946433608951,262.5999552941584,72.67896564378677,inf
London,1100.0,2500.0,0.625,2132439.528727138,0.7803240334980597,11.793946433608951,260.175496569576,72.67896564378677,inf
